关注人数,区域,单价,城区,小区,建成年份,总价,户型_厅,户型_室,朝向,标题,楼层,满二年,满五年,装修,近地铁,面积
52,广渠门,106549,东城,幸福家园一期 ,2002,1230,1,3,南 北,幸福家园一期 3室1厅 南 北,高楼层(共18层),False,True,精装,True,115.44
15,左安门,79697,东城,天坛东路64号 ,1980,420,1,2,西北,地铁5号线 天坛东门站 满五年唯一  邻近公园,底层(共6层),False,True,精装,True,52.7
78,崇文门,90532,东城,法华南里 ,1995,960,2,3,东 南 北,法华南里 3室2厅 东 南 北,底层(共6层),False,False,精装,True,106.04
18,广渠门,87154,东城,金世纪嘉园 ,2006,595,1,1,东,金世纪嘉园，东向一居室，噪音小 去年新装修，,中楼层(共21层),False,True,精装,True,68.27
9,工体,99587,东城,阳光都市 ,2000,1060,1,2,东,东城 阳光都市  东向2居室   满五年  精装修,中楼层(共24层),False,True,精装,False,106.44
5,天坛,88207,东城,复康南里 ,1979,445,1,2,南 北,复康南里 满五唯一 邻近天坛公园 南北通透,中楼层(共5层),False,True,简装,False,50.45
34,东直门,58396,东城,华普花园 ,2001,850,1,2,东,70年商品房住宅，满五年，高楼层，无遮挡，采光视野好,中楼层(共22层),False,True,精装,True,145.56
50,和平里,104221,东城,和平里七区 ,1984,810,1,4,南 北,和平里七区 田字格 南北通透 四居室 满五年,底层(共5层),False,False,简装,False,77.72
275,天坛,69472,东城,金鱼池中区 ,2002,880,2,3,南 北,金鱼池中区南北复式 四层跃五层 精装修,中楼层(共7层),True,False,精装,False,126.67
107,陶然亭,116327,东城,中海紫御公馆 ,2010,1078,2,2,南 北,中海紫御公馆南北通透两居室，高楼层视野不错,顶层(共21层),False,True,精装,False,92.67
320,永定门,69556,东城,定安里 ,1980,382,1,2,南 北,东城区，南北通透两居，板楼中间层，满五年,中楼层(共6层),False,True,简装,False,54.92
47,东直门,112926,东城,北官厅胡同 ,1993,885,1,3,西南,二环内北官厅胡同，西南电梯直达三居室，安全局家属楼,中楼层(共16层),False,True,简装,False,78.37
321,永定门,73186,东城,华龙美晟 ,2009,598,1,2,东南,华龙美晟，东南两居室，看房方便，业主诚心出售。,低楼层(共12层),False,True,简装,True,81.71
213,永定门,68090,东城,定安里 ,1980,370,1,2,南 北,东城区南北向两居室中间楼层没有遮挡,中楼层(共6层),True,False,精装,False,54.34
226,崇文门,97331,东城,国瑞城中区 ,2006,1480,1,3,南 北,纯商品房 南北通透3居室 明厨明卫 直线通透 小区安静,低楼层(共16层),False,True,精装,True,152.06
52,崇文门,98616,东城,兴隆都市馨园 ,2003,520,1,1,南,兴隆都市馨园 低楼层 朝南正规一居室 正对花园,低楼层(共6层),False,True,精装,True,52.73
26,安贞,104687,东城,小黄庄一区 ,1990,869,1,3,东 西,小黄庄一区 3室1厅 东 西,中楼层(共21层),True,False,精装,False,83.01
99,东花市,86274,东城,富贵园三区 ,2002,912,2,3,西南,东城东花市南里三区，楼下是家乐福和地铁广渠门内站,低楼层(共18层),False,True,简装,True,105.71
182,永定门,72820,东城,景泰西里 ,1981,445,1,3,东 南 北,东城区 正规三居 中间楼层 随时可看,中楼层(共6层),False,True,精装,True,61.11
87,永定门,74979,东城,富莱茵花园 ,1995,439,1,2,南 北,东城区永定门 富莱茵花园 板楼中楼层 南北通透两居室,中楼层(共6层),False,True,简装,True,58.55
161,天坛,79927,东城,天坛西里东区 ,1980,569,1,3,南 北,天坛公园旁  南北通透三居  板楼中间层  看房方便,中楼层(共6层),True,False,简装,True,71.19
34,广渠门,99946,东城,光明楼 ,1988,555,1,2,南 北,87年建成+独门独院+满五唯一+低楼层+南北通透+板厂,中楼层(共4层),False,False,简装,False,55.53
138,安定门,87992,东城,巷上嘉园 ,2005,850,1,2,东南,北二环 中轴线 少见商品房社区 满五年,低楼层(共24层),False,True,简装,False,96.6
99,东四,127154,东城,什锦花园胡同21号院 ,1985,620,1,2,南,21号院总价较低  双南向两居室出售,中楼层(共5层),False,True,精装,True,48.76
66,安定门,92609,东城,安德路55号院 ,1958,525,1,3,南 北,冶金部大院 安德路55号院 南北通透 三居室,顶层(共3层),True,False,精装,True,56.69
30,广渠门,101179,东城,培新街乙5号院 ,1999,558,1,1,东南,培新街乙5号院   东南阳光一居室  看房方便,中楼层(共17层),False,True,简装,False,55.15
304,永定门,69757,东城,西革新里110号院 ,1992,310,1,1,东,东城区  东向一居 商品房业主唯一住房  无遮挡,中楼层(共6层),False,True,简装,False,44.44
11,交道口,125832,东城,香饵胡同 ,2002,870,1,2,南 北,交东小区南北通透的两居室，低楼层,底层(共6层),False,True,简装,True,69.14
22,朝阳门内,102349,东城,芳嘉园胡同 ,2003,719,1,2,南 北,芳嘉园胡同 南北通透两居室 低楼层,底层(共6层),False,True,简装,False,70.25
37,和平里,112962,东城,和平里东街9号院 ,2000,868,1,2,东,和平里东街9号院精装高楼层两室一厅华润物业管理,高楼层(共16层),False,True,精装,True,76.84
13,东单,108946,东城,煤渣胡同 ,1990,710,1,2,南,煤渣胡同 电梯直达 南向两居室 高层 业主售房强,高楼层(共9层),False,True,简装,True,65.17
33,崇文门,96020,东城,新景家园西区 ,2004,772,1,2,南 北,户型方正，南北通透，一梯三户，交通便利,低楼层(共12层),False,True,简装,True,80.4
136,交道口,119135,东城,香饵胡同 ,2002,820,1,2,南 北,南北通透两居室，低楼层，满五年唯一，安静不临街。,底层(共6层),False,True,简装,True,68.83
277,左安门,73001,东城,左安浦园 ,2004,836,2,3,南 北,龙潭湖公园  南北通透三居 五年唯一 商品房,中楼层(共16层),True,False,简装,True,114.52
141,灯市口,100483,东城,东四西大街 ,1988,562,1,2,西,东四，2层，两室，能贷款，能给换房时间。,低楼层(共6层),False,True,简装,True,55.93
41,广渠门,88828,东城,京城仁合 ,2004,745,1,2,东 西,商品房 高楼层 东西通透 房本已经满五年,高楼层(共16层),False,True,精装,True,83.87
100,东花市,94915,东城,富贵园二区 ,2003,530,1,1,南,正规朝南一居，满五唯一，户型方正,中楼层(共18层),False,True,简装,True,55.84
307,陶然亭,99741,东城,中海紫御公馆 ,2010,615,1,2,东北,中海紫御公馆 对小区花园 精装修小两居,中楼层(共22层),True,False,精装,False,61.66
117,安定门,119396,东城,中绦胡同甲2号院 ,1985,735,1,2,南 北,二环内教委家属院 全明两居中间层 满五唯一 业主诚售,中楼层(共6层),False,True,简装,False,61.56
38,交道口,128549,东城,交道口东大街 ,2003,960,1,2,南 北,交东小区 有电梯 南北通透2居产权清晰 有钥匙随时看房,中楼层(共11层),False,False,精装,True,74.68
91,广渠门,83809,东城,金桥国际 ,2004,750,1,2,南,70年产权住宅，满五年唯一，商品房社区，车位充足,中楼层(共21层),False,True,精装,False,89.49
42,东花市,97252,东城,天娇园 ,2007,499,1,1,西,商品房，满五年唯一，只有契税，09年社区，中高层,中楼层(共11层),False,True,精装,False,51.31
53,广渠门,95409,东城,南水关 ,1975,480,1,2,南,3层全南向小两居、少预算、交通方便,中楼层(共5层),False,True,简装,False,50.31
114,和平里,105284,东城,地坛北门 ,1986,540,1,2,南,东城区地坛北门小两居，满五年唯一住房，,顶层(共5层),False,True,简装,False,51.29
33,东直门,120042,东城,北官厅胡同 ,1988,460,1,1,东,北官厅胡同小区，朝东向小一居室,低楼层(共6层),False,True,简装,True,38.32
92,陶然亭,100228,东城,中海紫御公馆 ,2010,618,2,1,东北,中海紫御公馆 不临街一居室 开发商精装修 视野好,高楼层(共22层),False,True,精装,False,61.66
191,东直门,93010,东城,东直门外大街(东城） ,1990,616,1,2,南,东直门外大街 满五年 带电梯南向 高楼层视野采光好,高楼层(共14层),False,True,简装,False,66.23
130,崇文门,85751,东城,国瑞城东区 ,2006,615,1,1,东 南 北,东南北大一居，户型方正，私房回迁满五家庭名下唯一,低楼层(共16层),False,True,简装,True,71.72
22,和平里,108430,东城,民旺园 ,1988,620,1,3,南 北,东城区民旺园南北通透，户型方正,顶层(共6层),False,False,毛坯,False,57.18
58,建国门内,109398,东城,西总布胡同55号院 ,1990,766,1,3,南 北,东城二环里，协和医院，人美家属楼，金宝街,高楼层(共6层),False,True,精装,True,70.02
60,永定门,68033,东城,景泰西里西区 ,2005,415,1,1,南,东城区 2005年小区 朝南一居 满五年唯一 无遮挡采光好,低楼层(共10层),False,True,简装,False,61
40,和平里,102820,东城,和平里七区 ,1982,598,1,2,南 北,和平里七区 南北通透两居室 精装修,顶层(共6层),True,False,精装,False,58.16
49,和平里,117496,东城,民旺园 ,1990,730,1,2,东南 西,东城区 民旺园 中间层2居室 三面采光 管理好 有门禁,中楼层(共6层),True,False,精装,False,62.13
64,朝阳门内,111500,东城,竹杆胡同 ,2005,765,1,2,南 西 北,竹杆胡同全明格局两居室，业主诚意出售,底层(共6层),False,True,简装,False,68.61
74,永定门,71738,东城,华龙美晟 ,2009,514,1,2,西,华龙美晟09年商品房社区，东城区，二环外三环里,低楼层(共12层),True,False,简装,True,71.65
305,永定门,78285,东城,新永外文化用品商城 ,2006,292,1,1,北,东城区  2005年商品房  业主诚心出售 看房方便,高楼层(共15层),True,False,简装,False,37.3
93,永定门,81711,东城,东革新里40号院 ,1979,298,1,1,南,东城区  地铁8号线旁 东革新里40号院 南向一居,中楼层(共5层),False,True,简装,False,36.47
52,东直门,89667,东城,胡家园小区 ,1985,505,1,2,南 北,东城区东直门外满五年单位分房 西中街 有钥匙,顶层(共6层),False,True,简装,False,56.32
886,永定门,65755,东城,华龙美晟 ,2009,495,1,2,南,华龙美晟西南向两居室中间楼层看房方便,低楼层(共12层),True,False,简装,True,75.28
65,地安门,124068,东城,菊儿胡同 ,1985,798,1,2,南 北,菊儿胡同新华社央产房  南北朝向两居室 房本有院子,底层(共6层),False,True,精装,True,64.32
63,东直门,77695,东城,东方银座 ,2003,620,1,1,南,东方银座南向一居，户型方正，采光好。,低楼层(共25层),True,False,简装,True,79.8
59,安定门,105425,东城,安外东河沿 ,1981,585,1,2,南,安外东河沿双南向两居室采光充足,低楼层(共6层),True,False,简装,False,55.49
42,东直门,100468,东城,炮局头条 ,1991,580,1,2,南 北,二环里 炮局头条 南北向两居室 精装修 诚意出售,底层(共6层),True,False,精装,False,57.73
99,广渠门,93641,东城,光明楼 ,1960,480,1,2,南 北,龙体不临街的板楼+2层南北两居+有钥匙+层高3米,中楼层(共4层),False,True,简装,False,51.26
89,和平里,111835,东城,和平里六区 ,1993,842,1,3,南 北,和平里六区 中石化管理 电梯房 南北通透 全明格局,顶层(共18层),False,True,精装,False,75.29
38,安贞,105783,东城,小黄庄一区 ,1990,955,1,3,南 西 北,小黄庄一区  南北通透三居室   带电梯   精装修,中楼层(共21层),False,True,精装,False,90.28
58,天坛,74304,东城,天坛北里 ,1980,395,1,2,东 北,天坛北门两室一厅，采光好，无遮挡,高楼层(共6层),True,False,简装,True,53.16
283,东直门,85151,东城,东方银座 ,2003,492,1,1,西,70年产权东城区东直门桥东南角位置好，正对小区院里,高楼层(共25层),False,True,简装,True,57.78
147,东直门,86793,东城,青龙胡同 ,1988,736,1,3,南 北,雍和宫地铁，青龙胡同35号三居，板楼,低楼层(共6层),False,True,简装,False,84.8
81,崇文门,96378,东城,国瑞城中区 ,2006,870,1,3,东南,国瑞城东南边户三居 精装拎包入住,低楼层(共16层),False,True,精装,True,90.27
368,天坛,79451,东城,天坛东里南区 ,1991,399,1,2,东 北,二环里，正规 两居室出行方便 诚心出售,低楼层(共12层),False,True,简装,True,50.22
49,和平里,91552,东城,雍和家园一期 ,2003,1450,1,3,东南,雍和家园一期 满五年唯一 三室两卫 近地铁 视野好,中楼层(共16层),False,True,精装,True,158.38
71,广渠门,79789,东城,京城仁合 ,2004,799,2,2,东,两居室视野开阔 东朝向看到早上阳光,高楼层(共16层),False,True,简装,False,100.14
58,和平里,119739,东城,和平里五区 ,1996,660,1,2,南 北,和平里五区 1996年楼领新 楼层好 视野开阔 交通便利,高楼层(共6层),False,True,简装,False,55.12
146,和平里,100550,东城,和平里中街3号院 ,2006,1080,1,3,东南,和平里中街3号院 东南向三居 2007年的房子满五唯一,低楼层(共21层),False,True,简装,False,107.41
59,崇文门,96411,东城,新景家园东区 ,2004,795,1,2,南 北,新景家园东区 南北通透 两居室 高层 观景视野好,高楼层(共12层),False,True,精装,True,82.46
29,安定门,105249,东城,安外西河沿 ,1983,758,1,3,南 北,安定门外西河沿，南北电梯直达3居室 随时签约,12层,False,False,简装,False,72.02
58,广渠门,99221,东城,绿景馨园 ,2004,815,1,3,南 北,南北3居，中间楼层，明厨明卫，有车位，诚意出售,中楼层(共6层),False,True,精装,False,82.14
106,建国门内,93260,东城,建国门北大街 ,1990,642,1,2,南 东,东二环 金宝街 日化家属院 两居室高层带电梯 视野好,高楼层(共17层),False,True,简装,True,68.84
91,崇文门,99093,东城,新景家园东区 ,2004,775,2,2,南 北,南北通透、精装、多功能隔断设计、阳台榻榻米、外飘窗,低楼层(共13层),False,True,精装,True,78.21
174,左安门,73047,东城,左安门内大街 ,1987,429,1,2,北 东,东城区 二环里 正规两居室 满五商品房 邻近龙潭公园,顶层(共6层),False,True,精装,False,58.73
60,朝阳门内,115464,东城,南门仓胡同 ,2003,790,1,2,南 北,南北通透二居室 无遮挡 不临街 楼龄新,底层(共6层),False,True,精装,True,68.42
213,永定门,64696,东城,富莱茵花园 ,1995,499,2,2,南,东城区 富莱茵花园板楼两居室 使用率高有固定租赁车位,顶层(共6层),False,True,精装,True,77.13
31,朝阳门内,132285,东城,南门仓胡同 ,2003,1135,1,3,南 北,朝阳门内，南北通透三居，低楼层，无遮挡，产权清晰。,低楼层(共6层),True,False,精装,True,85.8
59,永定门,62563,东城,宝华家园 ,2000,560,1,2,东南,东城区  东南向两居  满五年唯一 商品房,低楼层(共21层),False,True,简装,False,89.51
77,安贞,86945,东城,小黄庄一区 ,1990,935,1,3,东 西 东南,业主诚心出售，周期都可谈，看房提前联系。,中楼层(共21层),True,False,简装,False,107.54
51,安定门,99911,东城,安德路47号院 ,1990,780,1,3,南 北 西,北二环 满五年 中间楼层 采光好 能停车 正规客厅,中楼层(共6层),False,True,毛坯,False,78.07
138,安定门,102263,东城,青年湖东里 ,1988,800,1,3,南 北,东城安定门  电梯南北通透的精装三居 楼下青年湖,中楼层(共18层),False,True,精装,False,78.23
45,和平里,92341,东城,甘水桥 ,1988,780,1,3,东 西,东城区 甘水桥 三居室 户型方正 有电梯,中楼层(共14层),False,True,精装,False,84.47
8,安定门,104361,东城,上龙西里 ,1988,505,1,1,南,本房满五年的，朝南采光好，安静不临街。,低楼层(共18层),False,True,精装,True,48.39
274,东直门,99707,东城,海运仓小区 ,2002,475,1,1,东南,东四十条海运仓小区中间楼层东南向一居,中楼层(共6层),False,True,精装,True,47.64
93,朝阳门内,122901,东城,豆瓣胡同 ,2003,878,1,2,南,东四 豆瓣小区 朝南向两居 户型方正  随时签,低楼层(共21层),False,True,精装,True,71.44
82,崇文门,100379,东城,新景家园东区 ,2002,610,1,1,南,新景家园满五唯一全南精装一居户型方正采光充足无遮挡,低楼层(共12层),False,True,精装,True,60.77
30,崇文门,114790,东城,新景家园东区 ,2008,475,0,1,东,新景家园东区 商品房 高楼层 视野好 采光好,顶层(共15层),False,True,简装,True,41.38
2,广渠门,81673,东城,远洋德邑 ,2003,545,1,1,西,广渠门远洋德邑商品房社区，正在装修,高楼层(共13层),False,True,精装,False,66.73
41,朝阳门外,95781,东城,潘家坡胡同4号院 ,1988,740,1,3,南 北,东城区 南北通透三居 中间楼层 不临街  精装修,中楼层(共5层),False,True,精装,True,77.26
106,和平里,111352,东城,柏林寺西 ,1994,668,1,2,南,柏林寺西低楼层精装双南两居室通的大阳台,低楼层(共6层),False,True,精装,False,59.99
89,和平里,100101,东城,和平里七区 ,1995,700,1,2,南 北,和平里七区 南北通透 两居室 带客厅 前后不临街,底层(共6层),False,True,简装,False,69.93
147,东直门,111713,东城,海运仓小区 ,2003,846,1,2,南 北,正规两室一厅+满五唯一+南北通透+无遮挡,中楼层(共9层),False,True,精装,True,75.73
150,和平里,113016,东城,和平里七区 ,,488,1,1,西南,1994年砖混结构、满五年福利分房 业主有一个固定车位,顶层(共6层) ,False,True,简装,False,43.18
57,朝阳门外,87158,东城,新中西街 ,1990,509,1,2,东 西,东城区新中西街满五年中楼层看房方便,中楼层(共7层),False,True,简装,True,58.4
58,崇文门,92615,东城,国瑞城东区 ,2006,538,1,1,南,国瑞城东区 精装修朝南一居带10多平米平台,低楼层(共16层),False,True,精装,True,58.09
35,东直门,60457,东城,华普花园 ,2001,880,1,2,东,全东向大两居，无任何遮挡，满五唯一,低楼层(共22层),False,True,精装,True,145.56
49,安定门,120869,东城,中绦胡同甲2号院 ,1985,640,1,2,南,北二环内双南小两居 满五唯一 业主诚售,高楼层(共6层),False,True,简装,False,52.95
104,永定门,67703,东城,望陶园小区 ,2002,558,1,2,西,东城望陶园 02年商品房精装中楼层满五唯一 随时看房,中楼层(共18层),False,True,精装,True,82.42
19,陶然亭,100276,东城,中海紫御公馆 ,2010,618,1,2,西北,中海紫御公馆 西北小两居 开发商精装修 不临街,中楼层(共22层),True,False,精装,False,61.63
36,安定门,112130,东城,黄寺大街2号院 ,1990,465,1,1,南,东城 黄寺大街2号院 满五年不唯一央产房 朝南一居,顶层(共6层),False,True,简装,False,41.47
30,和平里,97458,东城,和平里中街3号院 ,2006,778,1,2,东北,和平里中街3号院楼龄新，有车位，精装,中楼层(共20层),False,True,精装,False,79.83
18,崇文门,93047,东城,崇文门东大街 ,1980,558,1,2,南 北,崇文门东大街 高楼层南北精装修两居室,高楼层(共14层),True,False,精装,True,59.97
221,崇文门,98260,东城,新景家园西区 ,2004,745,1,2,南 北,带车位 新景家园南北两居 诚意出售 看房随时,低楼层(共12层),False,True,简装,True,75.82
94,左安门,67162,东城,左安浦园 ,2004,452,1,2,西北,左安浦园小区 西北向2居 商品房,底层(共18层),True,False,精装,False,67.3
62,崇文门,102891,东城,新景家园西区 ,2004,630,1,1,南 北,新景家园西区南北通透一居室，带隔层，满五年唯一,高楼层(共12层),False,True,精装,True,61.23
42,东直门,94012,东城,东直门南大街 ,1991,595,1,2,西南,南大街高层带电梯西南向两居，有物业管理，出行方便,中楼层(共18层),False,True,精装,False,63.29
62,和平里,119571,东城,和平里五区 ,1996,490,1,1,西南,东城区东城区和平里五区满两年央产房,中楼层(共6层),True,False,简装,False,40.98
64,和平里,120081,东城,地坛北里 ,1989,595,1,2,南 北,南北通透小两居 全明格局 中街楼层,中楼层(共5层),False,True,简装,False,49.55
17,朝阳门内,113848,东城,朝阳门南小街 ,2004,698,1,2,东 西,东二环内 朝阳门南小街 东西朝向 电梯直达,低楼层(共11层),True,False,精装,True,61.31
44,工体,114510,东城,十字坡东里 ,1986,438,1,1,南,东城区 十字坡东里 满五唯一南向一居室,中楼层(共6层),False,True,简装,True,38.25
64,东花市,96828,东城,富贵园二区 ,2003,470,1,1,北,满五年 商品本 不临街 安静 保养不错,低楼层(共18层),False,True,精装,True,48.54
291,广渠门,93324,东城,广渠家园 ,2009,738,1,3,东南,广渠家园东南角，通透敞亮南向三居,中楼层(共29层),False,True,精装,True,79.08
132,广渠门,87466,东城,金世纪嘉园 ,2004,575,1,2,西北,广渠门 金世纪嘉园 高楼层 精装修,高楼层(共21层),False,True,精装,False,65.74
33,地安门,146424,东城,豆角胡同 ,1984,651,1,2,南,地安门  帽儿胡同 央产房管理 房本满5年 朝南向两居室,顶层(共5层),False,True,精装,True,44.46
12,广渠门,96732,东城,金桥国际 ,2004,515,1,1,西北,70年产权住宅 2004年商品房  精装修,高楼层(共27层),True,False,精装,False,53.24
61,安定门,95703,东城,青年湖北里 ,1988,550,1,2,东 西,青年湖北里 满五唯一  二层  交通便利,低楼层(共6层),False,True,毛坯,False,57.47
105,东花市,92300,东城,富贵园三区 ,2002,525,1,1,西北,商品房品质，回迁房房价，一梯三户，次顶层，全明格局,高楼层(共12层),False,True,简装,True,56.88
253,永定门,67215,东城,新永外文化用品商城 ,2006,540,1,2,南 北,新永外小区南北向塔楼两居楼龄新视野好业主诚售,高楼层(共16层),False,True,精装,False,80.34
92,和平里,101206,东城,和平里七区 ,1979,705,1,3,南 北,和平里七区 南北通透3居室 满五年央产房,底层(共3层),False,True,简装,False,69.66
47,朝阳门内,114867,东城,朝阳门北小街 ,2003,785,1,2,南 北,满五唯一 朝阳门北小街 南北通透 无遮挡 看房随时,底层(共6层),True,False,简装,False,68.34
118,广渠门,79832,东城,广渠家园 ,2009,568,2,2,西,东城区广渠家园精装修西向二居室 商品房本满五年唯一,中楼层(共29层),False,True,精装,True,71.15
95,朝阳门内,109898,东城,朝阳门南小街 ,2004,936,1,3,南 北,东单协和【金宝街】朝内南小街南北通透三居室低楼层！,16层,False,False,精装,True,85.17
75,广渠门,87070,东城,广渠门外南街 ,1991,538,1,2,南 北,东城区  广渠门外南街   南北两居带客厅   1992年,低楼层(共6层),False,False,简装,True,61.79
92,东花市,99731,东城,东花市北里中区 ,1994,1000,2,3,南 北,东花市北里中区 央产房3居室 南北通透,低楼层(共6层),False,False,简装,False,100.27
109,永定门,66723,东城,百荣嘉园 ,2015,558,1,3,南 北,东城 永定门 百荣嘉园 南北通透三居室,中楼层(共21层),False,False,简装,False,83.63
140,永定门,61956,东城,管村10号 ,1984,363,1,2,南 北,双地铁（8、14号线），中间楼层，采光好，交通便利,低楼层(共6层),False,False,简装,False,58.59
48,东花市,91643,东城,东花市北里东区 ,1995,750,1,2,南 北,东花市北里东区 南北通透两居室 前后不临街,高楼层(共6层),False,False,简装,False,81.84
89,和平里,100714,东城,兴化西里 ,1976,875,1,4,南 北,兴化西里 满五唯一 中间楼层 南北通透,中楼层(共5层),False,False,简装,False,86.88
330,东花市,86006,东城,富贵园三区 ,2002,590,1,2,东 南,2002年小区 富贵园三区 东南向 中间楼层,中楼层(共16层),False,False,简装,True,68.6
66,崇文门,97503,东城,新景家园西区 ,2004,570,1,1,南,新景高层南向一居 视野开阔 采光没遮挡 价格合适,顶层(共17层),False,True,精装,True,58.46
87,东直门,73676,东城,东方银座 ,2003,595,1,1,南,东直门 东城  南向一居室 户型方正,低楼层(共26层),True,False,精装,False,80.76
58,东直门,102361,东城,东直门外大街(东城） ,1990,438,1,1,南 北,东直门外大街(东城）带电梯 南向一居 满五年适合贷款,中楼层(共14层),False,True,简装,False,42.79
32,崇文门,101436,东城,国瑞城中区 ,2006,530,1,1,东,国瑞城中区朝东一居室，精装修，靠地铁，诚意出售。,中楼层(共16层),True,False,精装,True,52.25
19,广渠门,138420,东城,绿景苑 ,2002,410,0,1,北,绿景苑小区，总价偏低的一居，满五年业主一套房,顶层(共12层),False,True,精装,False,29.62
20,和平里,105716,东城,和平新城一期 ,2003,590,0,1,北,东城区2002年商品房社区  落地窗观景小区花园,低楼层(共21层),False,True,精装,True,55.81
71,广渠门,97342,东城,广渠门内大街 ,1980,432,1,1,南,东二环内广渠门内 南向一居室 满五年唯一  临近地铁,中楼层(共16层),False,True,简装,False,44.38
35,广渠门,86049,东城,远洋德邑 ,2003,515,1,1,北,次顶层，无遮挡，视野开阔。满五唯一，商品房住宅！,高楼层(共13层),False,True,简装,False,59.85
